tripduration,starttime,stoptime,start station id,start station name,end station id,end station name,bikeid,name_localizedValue,usertype
338,2018-05-01 00:04:47,2018-05-01 00:10:25,3639,Harborside,3199,Newport Pkwy,33558,Annual Membership,Subscriber
1482,2018-05-01 01:31:10,2018-05-01 01:55:53,3681,Grand St,3185,City Hall,33593,24 Hour,Customer
232,2018-05-01 01:31:29,2018-05-01 01:35:22,3194,McGinley Square,3193,Lincoln Park,29217,FREE Bonus Month with Annual Membership,Subscriber
190,2018-05-01 02:03:29,2018-05-01 02:06:40,3185,City Hall,3186,Grove St PATH,29662,24 Hour,Customer
303,2018-05-01 04:27:12,2018-05-01 04:32:16,3207,Oakland Ave,3195,Sip Ave,15271,Annual Membership,Subscriber
176,2018-05-01 04:37:05,2018-05-01 04:40:01,3194,McGinley Square,3195,Sip Ave,29298,Annual Membership,Subscriber
577,2018-05-01 05:05:46,2018-05-01 05:15:23,3225,Baldwin at Montgomery,3186,Grove St PATH,33619,Annual Membership from Citi Bike App,Subscriber
830,2018-05-01 05:11:50,2018-05-01 05:25:41,3207,Oakland Ave,3185,City Hall,33624,Annual Membership,Subscriber
395,2018-05-01 05:12:07,2018-05-01 05:18:42,3225,Baldwin at Montgomery,3186,Grove St PATH,26300,Annual Membership,Subscriber
170,2018-05-01 05:13:52,2018-05-01 05:16:43,3206,Hilltop,3195,Sip Ave,33555,$25 Off Annual Membership,Subscriber
353,2018-05-01 05:18:36,2018-05-01 05:24:29,3225,Baldwin at Montgomery,3195,Sip Ave,33627,Annual Membership,Subscriber
704,2018-05-01 05:23:26,2018-05-01 05:35:11,3185,City Hall,3187,Warren St,26216,Annual Membership,Subscriber
265,2018-05-01 05:23:32,2018-05-01 05:27:58,3269,Brunswick & 6th,3186,Grove St PATH,33592,Annual Membership,Subscriber
428,2018-05-01 05:31:40,2018-05-01 05:38:48,3212,Christ Hospital,3186,Grove St PATH,26160,Annual Membership from Citi Bike App,Subscriber
473,2018-05-01 05:34:23,2018-05-01 05:42:16,3225,Baldwin at Montgomery,3186,Grove St PATH,33640,Annual Membership,Subscriber
178,2018-05-01 05:34:30,2018-05-01 05:37:28,3267,Morris Canal,3183,Exchange Place,26190,Annual Membership,Subscriber
309,2018-05-01 05:41:11,2018-05-01 05:46:21,3207,Oakland Ave,3195,Sip Ave,29530,Annual Membership,Subscriber
126,2018-05-01 05:53:34,2018-05-01 05:55:40,3214,Essex Light Rail,3184,Paulus Hook,26163,Annual Membership,Subscriber
184,2018-05-01 05:53:42,2018-05-01 05:56:46,3276,Marin Light Rail,3186,Grove St PATH,29571,Annual Membership,Subscriber
170,2018-05-01 05:53:43,2018-05-01 05:56:33,3267,Morris Canal,3184,Paulus Hook,33634,Join Citi Bike for $14.95/month,Subscriber
261,2018-05-01 05:56:06,2018-05-01 06:00:28,3270,Jersey & 6th St,3202,Newport PATH,29540,Annual Membership,Subscriber
124,2018-05-01 05:56:08,2018-05-01 05:58:13,3270,Jersey & 6th St,3269,Brunswick & 6th,29446,Annual Membership,Subscriber
418,2018-05-01 06:04:09,2018-05-01 06:11:07,3281,Leonard Gordon Park,3195,Sip Ave,29493,Annual Membership,Subscriber
199,2018-05-01 06:05:18,2018-05-01 06:08:37,3276,Marin Light Rail,3186,Grove St PATH,26219,Annual Membership,Subscriber
571,2018-05-01 06:05:24,2018-05-01 06:14:56,3192,Liberty Light Rail,3187,Warren St,29244,Join Citi Bike for $14.95/month,Subscriber
77,2018-05-01 06:06:27,2018-05-01 06:07:45,3184,Paulus Hook,3183,Exchange Place,29290,Annual Membership,Subscriber
617,2018-05-01 06:07:04,2018-05-01 06:17:21,3192,Liberty Light Rail,3184,Paulus Hook,33665,Annual Membership,Subscriber
87,2018-05-01 06:07:23,2018-05-01 06:08:51,3211,Newark Ave,3186,Grove St PATH,26312,Annual Membership,Subscriber
323,2018-05-01 06:08:10,2018-05-01 06:13:33,3203,Hamilton Park,3186,Grove St PATH,29520,Annual Membership,Subscriber
